  epoch 90 | batch 450/844 | loss 35575.0508
  epoch 90 | batch 500/844 | loss 39735.2930
  epoch 90 | batch 550/844 | loss 39256.2500
  epoch 90 | batch 600/844 | loss 39478.4961
  epoch 90 | batch 650/844 | loss 32709.7695
  epoch 90 | batch 700/844 | loss 44809.6797
  epoch 90 | batch 750/844 | loss 55979.3672
  epoch 90 | batch 800/844 | loss 47733.0859
0090 | loss 34172181.65 | recon 33320818.61 | kl 212840.77 | sin 0.00 | beta 4.000 | sin_w 0.0000
  [curriculum] epoch 90: cnv_ratio=0.300
  epoch 91 | batch 0/844 | loss 42115.9609
  epoch 91 | batch 50/844 | loss 36395.8789
  epoch 91 | batch 100/844 | loss 36621.9844
  epoch 91 | batch 150/844 | loss 33895.3477
  epoch 91 | batch 200/844 | loss 32490.7559
  epoch 91 | batch 250/844 | loss 34423.8945
  epoch 91 | batch 300/844 | loss 48081.3008
  epoch 91 | batch 350/844 | loss 60186.9453
  epoch 91 | batch 400/844 | loss 47399.7891
  epoch 91 | batch 450/844 | loss 38528.2734
  epoch 91 | batch 500/844 | loss 41041.1328
  epoch 91 | batch 550/844 | loss 34688.4297
  epoch 91 | batch 600/844 | loss 40672.1836
  epoch 91 | batch 650/844 | loss 34939.2773
  epoch 91 | batch 700/844 | loss 46581.6797
  epoch 91 | batch 750/844 | loss 43946.8047
  epoch 91 | batch 800/844 | loss 48877.5547
0091 | loss 34170776.65 | recon 33316210.60 | kl 213641.52 | sin 0.00 | beta 4.000 | sin_w 0.0000
  epoch 92 | batch 0/844 | loss 31081.7109
  epoch 92 | batch 50/844 | loss 48303.8242
  epoch 92 | batch 100/844 | loss 38666.2266
  epoch 92 | batch 150/844 | loss 31569.0078
  epoch 92 | batch 200/844 | loss 37480.7891
  epoch 92 | batch 250/844 | loss 40347.5312
  epoch 92 | batch 300/844 | loss 64843.7539
  epoch 92 | batch 350/844 | loss 30854.5352
  epoch 92 | batch 400/844 | loss 36998.0625
  epoch 92 | batch 450/844 | loss 37689.8281
  epoch 92 | batch 500/844 | loss 45975.2227
  epoch 92 | batch 550/844 | loss 57103.1406
  epoch 92 | batch 600/844 | loss 42215.8828
  epoch 92 | batch 650/844 | loss 34451.2148
  epoch 92 | batch 700/844 | loss 33294.8711
  epoch 92 | batch 750/844 | loss 45702.4688
  epoch 92 | batch 800/844 | loss 39362.5039
0092 | loss 34166014.28 | recon 33332448.94 | kl 208391.34 | sin 0.00 | beta 4.000 | sin_w 0.0000
  epoch 93 | batch 0/844 | loss 33816.4336
  epoch 93 | batch 50/844 | loss 52956.5156
  epoch 93 | batch 100/844 | loss 30419.8691
  epoch 93 | batch 150/844 | loss 45027.3672
  epoch 93 | batch 200/844 | loss 32632.3516
  epoch 93 | batch 250/844 | loss 49003.8711
  epoch 93 | batch 300/844 | loss 30070.4414
  epoch 93 | batch 350/844 | loss 58315.2930
  epoch 93 | batch 400/844 | loss 40104.1836
  epoch 93 | batch 450/844 | loss 43819.9102
  epoch 93 | batch 500/844 | loss 36696.1055
  epoch 93 | batch 550/844 | loss 39790.2734
  epoch 93 | batch 600/844 | loss 34550.6328
  epoch 93 | batch 650/844 | loss 42243.5938
  epoch 93 | batch 700/844 | loss 41231.5586
  epoch 93 | batch 750/844 | loss 41229.9375
  epoch 93 | batch 800/844 | loss 39283.0586
0093 | loss 33916750.78 | recon 33099658.31 | kl 204273.13 | sin 0.00 | beta 4.000 | sin_w 0.0000
  epoch 94 | batch 0/844 | loss 52793.1719
  epoch 94 | batch 50/844 | loss 38983.5430
  epoch 94 | batch 100/844 | loss 36475.5039
  epoch 94 | batch 150/844 | loss 35482.4062
  epoch 94 | batch 200/844 | loss 34585.1445
